REPORTING PERIOD,,,MONTHLY UTILIZATION STATUS,,LGU PROFILE,,,,,
PERIOD,YEAR,MONTH,LGU FULL NAME,MONTHLY STATUS,UNIVERSAL STATUS,DISTRICT,LEVEL,INCOME CLASS,DICT RO,VERSION
PERIOD ID,YEAR,MONTH,LGU NAME,STATUS,USTATUS,DISTRICT,LEVEL,INCOME CLASS,DICT RO,VERSION
2026-01,2026,[01] January,"Alimodian, Iloilo",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Anilao, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Balete, Aklan",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Banate, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Barbaza, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Barotac Nuevo, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Batad, Iloilo",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-01,2026,[01] January,"Belison, Antique",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-01,2026,[01] January,"Bingawan, Iloilo",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-01,2026,[01] January,"Buruanga, Aklan",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-01,2026,[01] January,"Cabatuan, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Calinog, Iloilo",[1] Live,[A] Live,1st,Mun,1st,R6,v1
2026-01,2026,[01] January,"Carles, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"City of Iloilo, Iloilo",[1] Live,[A] Live,1st,City,1st,R6,v1
2026-01,2026,[01] January,"Concepcion, Iloilo",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Cuartero, Capiz",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Dueñas, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Dumarao, Capiz",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Guimbal, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Jamindan, Capiz",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Lambunao, Iloilo",[1] Live,[A] Live,1st,Mun,1st,R6,v1
2026-01,2026,[01] January,"Leganes, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Leon, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Lezo, Aklan",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-01,2026,[01] January,"Libertad, Antique",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-01,2026,[01] January,"Ma-Ayon, Capiz",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Maasin, Iloilo",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Malinao, Aklan",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Mambusao, Capiz",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Mina, Iloilo",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-01,2026,[01] January,"New Lucena, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"New Washington, Aklan",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Oton, Iloilo",[1] Live,[A] Live,1st,Mun,1st,R6,v1
2026-01,2026,[01] January,"Pandan, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Panitan, Capiz",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
