ID,,REPORTING PERIOD,,MONTHLY UTILIZATION STATUS,,,,,,,,LGU PROFILE,,,,,,,
REPORT,PERIOD,YEAR,MONTH,LGU FULL NAME,MONTHLY STATUS,PROGRESS RATE,CONCERNS,ACTION ITEMS,OTHER REMARKS,UNIVERSAL STATUS,MPAR,GEOCODE,C/M,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,SORT
REPORT ID,PERIOD ID,YEAR,MONTH,LGU NAME,STATUS,PROGRESS RATE,CONCERNS,ACTION ITEMS,OTHER REMARKS,USTATUS,MPAR,NEW GEOCODE,NAME,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,SORT
[2024-01] 08-037-01-000,2024-01,2024,[01] January,"Abuyog, Leyte",[2] Pilot Testing,80%,Nonresponsive LGU,,Nonresponsive LGU,[B] Developmental,B,08-037-01-000,Abuyog,Leyte,Region VIII (Eastern Visayas),Municipality,1st*,R8,K
[2024-01] 04-056-02-000,2024-01,2024,[01] January,"Alabat, Quezon",[1] Operational,,,,,[A] Operational,B,04-056-02-000,Alabat,Quezon,Region IV-A (CALABARZON),Municipality,5th,R4A,F
[2024-01] 08-037-02-000,2024-01,2024,[01] January,"Alangalang, Leyte",[1] Operational,,,,Normal Operations ,[A] Operational,A,08-037-02-000,Alangalang,Leyte,Region VIII (Eastern Visayas),Municipality,2nd,R8,K
[2024-01] 07-022-01-000,2024-01,2024,[01] January,"Alcantara, Cebu",[3] Ongoing Data Build-up,90%,,,LGU is unresponsive for calls and messages,[B] Developmental,B,07-022-01-000,Alcantara,Cebu,Region VII (Central Visayas),Municipality,5th,R7,J
[2024-01] 04-021-01-000,2024-01,2024,[01] January,"Alfonso, Cavite",[3] Ongoing Data Build-up,50%,,,,[B] Developmental,B,04-021-01-000,Alfonso,Cavite,Region IV-A (CALABARZON),Municipality,1st,R4A,F
[2024-01] 03-049-01-000,2024-01,2024,[01] January,"Aliaga, Nueva Ecija",[8] Withdraw,,,,,[D] Withdraw,B,03-049-01-000,Aliaga,Nueva Ecija,Region III (Central Luzon),Municipality,2nd,R3,E
[2024-01] 06-030-02-000,2024-01,2024,[01] January,"Alimodian, Iloilo",[1] Operational,,,,,[A] Operational,B,06-030-02-000,Alimodian,Iloilo,Region VI (Western Visayas),Municipality,3rd,R6,I
[2024-01] 04-021-02-000,2024-01,2024,[01] January,"Amadeo, Cavite",[2] Pilot Testing,60%,,,,[B] Developmental,B,04-021-02-000,Amadeo,Cavite,Region IV-A (CALABARZON),Municipality,4th,R4A,F
[2024-01] 07-046-01-000,2024-01,2024,[01] January,"Amlan, Negros Oriental",[3] Ongoing Data Build-up,25%,Internal problem in using the system ,LGU will call back once they fixed the problem internally,,[B] Developmental,B,07-046-01-000,Amlan,Negros Oriental,Region VII (Central Visayas),Municipality,4th,R7,J
[2024-01] 06-030-03-000,2024-01,2024,[01] January,"Anilao, Iloilo",[1] Operational,,,,,[A] Operational,B,06-030-03-000,Anilao,Iloilo,Region VI (Western Visayas),Municipality,4th,R6,I
[2024-01] 03-054-03-000,2024-01,2024,[01] January,"Arayat, Pampanga",[1] Operational,,,,,[A] Operational,A,03-054-03-000,Arayat,Pampanga,Region III (Central Luzon),Municipality,1st,R3,E
[2024-01] 07-022-05-000,2024-01,2024,[01] January,"Argao, Cebu",[1] Operational,,,,,[A] Operational,A,07-022-05-000,Argao,Cebu,Region VII (Central Visayas),Municipality,1st,R7,J
[2024-01] 02-031-03-000,2024-01,2024,[01] January,"Aurora, Isabela",[1] Operational,,,,,[A] Operational,B,02-031-03-000,Aurora,Isabela,Region II (Cagayan Valley),Municipality,3rd,R2,D
[2024-01] 17-052-01-000,2024-01,2024,[01] January,"Baco, Oriental Mindoro",[1] Operational,,,,,[A] Operational,B,17-052-01-000,Baco,Oriental Mindoro,MIMAROPA Region,Municipality,3rd,R4B,G
[2024-01] 10-035-01-000,2024-01,2024,[01] January,"Bacolod, Lanao del Norte",[1] Operational,,,,,[A] Operational,B,10-035-01-000,Bacolod,Lanao del Norte,Region X (Northern Mindanao),Municipality,4th,R10,N
[2024-01] 12-065-01-000,2024-01,2024,[01] January,"Bagumbayan, Sultan Kudarat",[3] Ongoing Data Build-up,70%,,,,[B] Developmental,B,12-065-01-000,Bagumbayan,Sultan Kudarat,Region XII (SOCCSKSARGEN),Municipality,1st,R12,Q
[2024-01] 07-022-08-000,2024-01,2024,[01] January,"Balamban, Cebu",[1] Operational,,,,,[A] Operational,A,07-022-08-000,Balamban,Cebu,Region VII (Central Visayas),Municipality,1st,R7,J
[2024-01] 06-030-05-000,2024-01,2024,[01] January,"Balasan, Iloilo",[1] Operational,,,,,[A] Operational,B,06-030-05-000,Balasan,Iloilo,Region VI (Western Visayas),Municipality,4th,R6,I
[2024-01] 04-010-03-000,2024-01,2024,[01] January,"Balayan, Batangas",[1] Operational,,,,,[A] Operational,A,04-010-03-000,Balayan,Batangas,Region IV-A (CALABARZON),Municipality,1st,R4A,F
[2024-01] 03-077-01-000,2024-01,2024,[01] January,"Baler, Aurora",[1] Operational,,,,,[A] Operational,A,03-077-01-000,Baler,Aurora,Region III (Central Luzon),Municipality,3rd,R3,E
[2024-01] 17-059-02-000,2024-01,2024,[01] January,"Banton, Romblon",[1] Operational,,,,,[A] Operational,B,17-059-02-000,Banton,Romblon,MIMAROPA Region,Municipality,5th,R4B,G
[2024-01] 06-006-02-000,2024-01,2024,[01] January,"Barbaza, Antique",[1] Operational,,,,,[A] Operational,B,06-006-02-000,Barbaza,Antique,Region VI (Western Visayas),Municipality,4th,R6,I
[2024-01] 05-062-02-000,2024-01,2024,[01] January,"Barcelona, Sorsogon",[3] Ongoing Data Build-up,85%,,,,[B] Developmental,B,05-062-02-000,Barcelona,Sorsogon,Region V (Bicol Region),Municipality,5th,R5,H
[2024-01] 06-030-07-000,2024-01,2024,[01] January,"Barotac Nuevo, Iloilo",[1] Operational,,,,,[A] Operational,B,06-030-07-000,Barotac Nuevo,Iloilo,Region VI (Western Visayas),Municipality,2nd,R6,I
[2024-01] 06-030-08-000,2024-01,2024,[01] January,"Barotac Viejo, Iloilo",[5] For Training,,,,,[C] For Training/Others,B,06-030-08-000,Barotac Viejo,Iloilo,Region VI (Western Visayas),Municipality,3rd,R6,I
[2024-01] 07-046-05-000,2024-01,2024,[01] January,"Basay, Negros Oriental",[1] Operational,,,,,[A] Operational,B,07-046-05-000,Basay,Negros Oriental,Region VII (Central Visayas),Municipality,4th,R7,J
[2024-01] 08-060-02-000,2024-01,2024,[01] January,"Basey, Samar",[1] Operational,,,,Normal Operations ,[A] Operational,B,08-060-02-000,Basey,Samar,Region VIII (Eastern Visayas),Municipality,1st,R8,K
