LGU PROFILE,,,LGU PROFILE,,,,,,,,,,,,,DECEMBER 2024,,,January 2025,,,February 2025,,,March 2025,,,April 2025,,,May 2025,,,June 2025,,,July 2025,,,August 2025,,,September 2025,,,October 2025,,,November 2025,,,December 2025,,
GEOCODE,,LGU FULL NAME,NAME,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,MPAR,SORT,,,NEW ENVIRONMENT PRODUCTION INSTANCE,PRODUCTION INSTANCE,ACCOMP PERIOD,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS
NEW,OLD,,,,,,,,,,STATUS,REMARKS,,,,2024-12,2024-12,2024-12,2025-01,2025-01,2025-01,2025-02,2025-02,2025-02,2025-03,2025-03,2025-03,2025-05,2025-05,2025-05,2025-05,2025-05,2025-05,2025-06,2025-06,2025-06,2025-07,2025-07,2025-07,2025-08,2025-08,2025-08,2025-09,2025-09,2025-09,2025-10,2025-10,2025-10,2025-11,2025-11,2025-11,2025-12,2025-12,2025-12
GCODE,OLD GEOCODE,LGU FULL NAME,NAME,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,MPAR,SORT,MOA STATUS,MOA REMARKS,INSTANCE,INSTANCE,ACCOMP PERIOD,2024-12,2024-12,2024-12,2024-01,2024-01,2024-01,2025-02,2025-02,2025-02,2025-03,2025-03,2025-03,2025-04,2025-04,2025-04,2025-05,2025-05,2025-05,2025-06,2025-06,2025-06,2025-07,2025-07,2025-07,2025-08,2025-08,2025-08,2025-09,2025-09,2025-09,2025-10,2025-10,2025-10,2025-11,2025-11,2025-11,2025-12,2025-12,2025-12
17-053-01-000,17-53-01-000,"Aborlan, Palawan",Aborlan,Palawan,MIMAROPA Region,Municipality,1st,R4B,A,G,#REF!,#REF!,https://bpbc.ibpls.com/aborlanpalawan,https://prod.ebpls.com/aborlanpalawan/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17-051-01-000,17-51-01-000,"Abra De Ilog, Occidental Mindoro",Abra De Ilog,Occidental Mindoro,MIMAROPA Region,Municipality,2nd,R4B,B,G,#REF!,#REF!,https://bpbc.ibpls.com/abradeilogoccidentalmindoro,https://prod.ebpls.com/abradeilogoccidentalmindoro,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-008-01-000,03-08-01-000,"Abucay, Bataan",Abucay,Bataan,Region III (Central Luzon),Municipality,3rd,R3,B,E,#REF!,#REF!,https://bpbc.ibpls.com/abucaybataan,https://prod.ebpls.com/abucaybataan/.php/login,,#N/A,#N/A,#N/A,[8] Withdraw,[D] Withdraw,"LGU Abucay, Bataan - Withdrawal Letter.pdf",[8] Withdraw,[D] Withdraw,"LGU Abucay, Bataan - Withdrawal Letter.pdf",[8] Withdraw,[D] Withdraw,"LGU Abucay, Bataan - Withdrawal Letter.pdf",[8] Withdraw,[D] Withdraw,"LGU Abucay, Bataan - Withdrawal Letter.pdf",[8] Withdraw,[D] Withdraw,"LGU Abucay, Bataan - Withdrawal Letter.pdf",[8] Withdraw,[D] Withdraw,"LGU Abucay, Bataan - Withdrawal Letter.pdf",[8] Withdraw,[D] Withdraw,"LGU Abucay, Bataan - Withdrawal Letter.pdf",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-037-01-000,08-37-01-000,"Abuyog, Leyte",Abuyog,Leyte,Region VIII (Eastern Visayas),Municipality,1st*,R8,A,K,#REF!,#REF!,https://bpbc.ibpls.com/abuyogleyte,https://prod.ebpls.com/abuyogleyte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-015-01-000,02-15-01-000,"Abulug, Cagayan",Abulug,Cagayan,Region II (Cagayan Valley),Municipality,3rd,R2,B,D,#REF!,#REF!,,https://prod.ebpls.com/abulugcagayan,,#N/A,#N/A,#N/A,[8] Withdraw,[D] Withdraw,Letter of Withdrawal_Abulug Cagayan.pdf,[8] Withdraw,[D] Withdraw,Letter of Withdrawal_Abulug Cagayan.pdf,[8] Withdraw,[D] Withdraw,Letter of Withdrawal_Abulug Cagayan.pdf,[8] Withdraw,[D] Withdraw,Letter of Withdrawal_Abulug Cagayan.pdf,[8] Withdraw,[D] Withdraw,Letter of Withdrawal_Abulug Cagayan.pdf,[8] Withdraw,[D] Withdraw,Letter of Withdrawal_Abulug Cagayan.pdf,[8] Withdraw,[D] Withdraw,Letter of Withdrawal_Abulug Cagayan.pdf,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-028-01-000,01-28-01-000,"Adams, Ilocos Norte",Adams,Ilocos Norte,Region I (Ilocos Region),Municipality,5th,R1,A,C,#REF!,#REF!,https://bpbc.ibpls.com/adamsilocosnorte,https://prod.ebpls.com/adamsilocosnorte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-057-01-000,02-57-01-000,"Aglipay, Quirino",Aglipay,Quirino,Region II (Cagayan Valley),Municipality,3rd,R2,A,D,#REF!,#REF!,https://bpbc.ibpls.com/aglipayquirino,https://prod.ebpls.com/aglipayquirino,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
