ID,,REPORTING PERIOD,,MONTHLY UTILIZATION STATUS,,,,,,,,LGU PROFILE,,,,,,,
REPORT,PERIOD,YEAR,MONTH,LGU FULL NAME,MONTHLY STATUS,PROGRESS RATE,CONCERNS,ACTION ITEMS,OTHER REMARKS,UNIVERSAL STATUS,MPAR,GEOCODE,C/M,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,SORT
REPORT ID,PERIOD ID,YEAR,MONTH,LGU NAME,STATUS,PROGRESS RATE,CONCERNS,ACTION ITEMS,OTHER REMARKS,USTATUS,MPAR,NEW GEOCODE,NAME,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,SORT
[2025-01] 07-022-01-000,2025-01,2025,[01] January,"Alcantara, Cebu",[3] Ongoing Data Build-up,90%,,,,[B] Developmental,B,07-022-01-000,Alcantara,Cebu,Region VII (Central Visayas),Municipality,5th,R7,J
[2025-01] 07-046-01-000,2025-01,2025,[01] January,"Amlan, Negros Oriental",[3] Ongoing Data Build-up,25%,"For refresher Training;
to be scheduled next year",,,[B] Developmental,B,07-046-01-000,Amlan,Negros Oriental,Region VII (Central Visayas),Municipality,4th,R7,J
[2025-01] 07-022-05-000,2025-01,2025,[01] January,"Argao, Cebu",[1] Operational,,,,,[A] Operational,A,07-022-05-000,Argao,Cebu,Region VII (Central Visayas),Municipality,1st,R7,J
[2025-01] 07-022-08-000,2025-01,2025,[01] January,"Balamban, Cebu",[1] Operational,,,,,[A] Operational,A,07-022-08-000,Balamban,Cebu,Region VII (Central Visayas),Municipality,1st,R7,J
[2025-01] 07-046-05-000,2025-01,2025,[01] January,"Basay, Negros Oriental",[1] Operational,,,,,[A] Operational,B,07-046-05-000,Basay,Negros Oriental,Region VII (Central Visayas),Municipality,4th,R7,J
[2025-01] 07-012-09-000,2025-01,2025,[01] January,"Buenavista, Bohol",[1] Operational,,,,,[A] Operational,B,07-012-09-000,Buenavista,Bohol,Region VII (Central Visayas),Municipality,4th,R7,J
[2025-01] 07-012-11-000,2025-01,2025,[01] January,"Candijay, Bohol",[1] Operational,,,,,[A] Operational,B,07-012-11-000,Candijay,Bohol,Region VII (Central Visayas),Municipality,4th,R7,J
[2025-01] 07-046-08-000,2025-01,2025,[01] January,"City of Canlaon, Negros Oriental",[1] Operational,,,,,[A] Operational,B,07-046-08-000,City of Canlaon,Negros Oriental,Region VII (Central Visayas),City,4th,R7,J
[2025-01] 07-313-00-000,2025-01,2025,[01] January,"City of Mandaue, Cebu",[3] Ongoing Data Build-up,25%,,,,[B] Developmental,A,07-313-00-000,City of Mandaue,Cebu,Region VII (Central Visayas),City,1st,R7,J
[2025-01] 07-022-18-000,2025-01,2025,[01] January,"Compostela, Cebu",[3] Ongoing Data Build-up,75%,,,,[B] Developmental,B,07-022-18-000,Compostela,Cebu,Region VII (Central Visayas),Municipality,3rd,R7,J
[2025-01] 07-022-21-000,2025-01,2025,[01] January,"Daanbantayan, Cebu",[3] Ongoing Data Build-up,75%,,,,[B] Developmental,B,07-022-21-000,Daanbantayan,Cebu,Region VII (Central Visayas),Municipality,1st,R7,J
[2025-01] 07-012-18-000,2025-01,2025,[01] January,"Danao, Bohol",[1] Operational,,,,,[A] Operational,B,07-012-18-000,Danao,Bohol,Region VII (Central Visayas),Municipality,4th*,R7,J
[2025-01] 07-022-28-000,2025-01,2025,[01] January,"Madridejos, Cebu",[1] Operational,,,,,[A] Operational,B,07-022-28-000,Madridejos,Cebu,Region VII (Central Visayas),Municipality,4th,R7,J
[2025-01] 07-022-32-000,2025-01,2025,[01] January,"Minglanilla, Cebu",[7] To Follow-up,,"For Refresher Training;
to be scheduled next year",,,[C] For Training/Others,B,07-022-32-000,Minglanilla,Cebu,Region VII (Central Visayas),Municipality,1st,R7,J
[2025-01] 07-022-37-000,2025-01,2025,[01] January,"Pinamungajan, Cebu",[1] Operational,,,,,[A] Operational,A,07-022-37-000,Pinamungajan,Cebu,Region VII (Central Visayas),Municipality,2nd,R7,J
[2025-01] 07-022-40-000,2025-01,2025,[01] January,"Samboan, Cebu",[6] With Concerns,,Waiting for withdrawal letter,,,[C] For Training/Others,B,07-022-40-000,Samboan,Cebu,Region VII (Central Visayas),Municipality,5th,R7,J
[2025-01] 07-022-42-000,2025-01,2025,[01] January,"San Francisco, Cebu",[2] Pilot Testing,100%,"Done Refresher Training last Septmber 17-19, 2024 for the new personnel in-charge | Waiting for actual transaction",,Waiting for LGU's request of deletion of test data in the system,[B] Developmental,B,07-022-42-000,San Francisco,Cebu,Region VII (Central Visayas),Municipality,3rd,R7,J
[2025-01] 07-046-17-000,2025-01,2025,[01] January,"San Jose, Negros Oriental",[2] Pilot Testing,25%,"For Refresher Training;
to be scheduled next year",,,[B] Developmental,B,07-046-17-000,San Jose,Negros Oriental,Region VII (Central Visayas),Municipality,5th,R7,J
