ID,,REPORTING PERIOD,,MONTHLY UTILIZATION STATUS,,,,,,,,LGU PROFILE,,,,,,,
REPORT,PERIOD,YEAR,MONTH,LGU FULL NAME,MONTHLY STATUS,PROGRESS RATE,CONCERNS,ACTION ITEMS,OTHER REMARKS,UNIVERSAL STATUS,MPAR,GEOCODE,C/M,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,SORT
REPORT ID,PERIOD ID,YEAR,MONTH,LGU NAME,STATUS,PROGRESS RATE,CONCERNS,ACTION ITEMS,OTHER REMARKS,USTATUS,MPAR,NEW GEOCODE,NAME,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,SORT
[2025-01] 07-022-02-000,2025-01,2025,[01] January,"Alcoy, Cebu",[2] Ongoing Testing and Data Build-up,,,,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[B] Developmental,B,07-022-02-000,Alcoy,Cebu,Region VII (Central Visayas),Municipality,5th,R7,J
[2025-01] 07-046-05-000,2025-01,2025,[01] January,"Basay, Negros Oriental",[1] Operational,,,,,[A] Operational,B,07-046-05-000,Basay,Negros Oriental,Region VII (Central Visayas),Municipality,4th,R7,J
[2025-01] 07-046-09-000,2025-01,2025,[01] January,"Dauin, Negros Oriental",[2] Ongoing Testing and Data Build-up,,,,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[B] Developmental,B,07-046-09-000,Dauin,Negros Oriental,Region VII (Central Visayas),Municipality,4th,R7,J
[2025-01] 07-061-01-000,2025-01,2025,[01] January,"Enrique Villanueva, Siquijor",[1] Operational,,,,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[A] Operational,B,07-061-01-000,Enrique Villanueva,Siquijor,Region VII (Central Visayas),Municipality,5th,R7,J
[2025-01] 07-046-14-000,2025-01,2025,[01] January,"Mabinay, Negros Oriental",[1] Operational,,,,,[A] Operational,B,07-046-14-000,Mabinay,Negros Oriental,Region VII (Central Visayas),Municipality,1st,R7,J
[2025-01] 07-022-28-000,2025-01,2025,[01] January,"Madridejos, Cebu",[2] Ongoing Testing and Data Build-up,,,,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[B] Developmental,B,07-022-28-000,Madridejos,Cebu,Region VII (Central Visayas),Municipality,4th,R7,J
[2025-01] 07-022-37-000,2025-01,2025,[01] January,"Pinamungajan, Cebu",[1] Operational,,,,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[A] Operational,B,07-022-37-000,Pinamungajan,Cebu,Region VII (Central Visayas),Municipality,2nd,R7,J
[2025-01] 07-022-42-000,2025-01,2025,[01] January,"San Francisco, Cebu",[2] Ongoing Testing and Data Build-up,,,,,[B] Developmental,B,07-022-42-000,San Francisco,Cebu,Region VII (Central Visayas),Municipality,3rd,R7,J
[2025-01] 07-046-20-000,2025-01,2025,[01] January,"Sibulan, Negros Oriental",[1] Operational,,,,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[A] Operational,B,07-046-20-000,Sibulan,Negros Oriental,Region VII (Central Visayas),Municipality,2nd,R7,J
[2025-01] 07-022-52-000,2025-01,2025,[01] January,"Tuburan, Cebu",[2] Ongoing Testing and Data Build-up,,,,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[B] Developmental,B,07-022-52-000,Tuburan,Cebu,Region VII (Central Visayas),Municipality,2nd,R7,J
[2025-01] 08-026-04-000,2025-01,2025,[01] January,"City of Borongan, Eastern Samar",[1] Operational,,,,,[A] Operational,A,08-026-04-000,City of Borongan,Eastern Samar,Region VIII (Eastern Visayas),City,1st (as Mun),R8,K
[2025-01] 08-037-41-000,2025-01,2025,[01] January,"Pastrana, Leyte",[1] Operational,,,,,[A] Operational,B,08-037-41-000,Pastrana,Leyte,Region VIII (Eastern Visayas),Municipality,5th*,R8,K
[2025-01] 11-024-01-000,2025-01,2025,[01] January,"Bansalan, Davao del Sur",[1] Operational,,,,,[A] Operational,B,11-024-01-000,Bansalan,Davao del Sur,Region XI (Davao Region),Municipality,1st,R11,P
[2025-01] 11-025-05-000,2025-01,2025,[01] January,"Cateel, Davao Oriental",[1] Operational,,,,,[A] Operational,B,11-025-05-000,Cateel,Davao Oriental,Region XI (Davao Region),Municipality,2nd,R11,P
[2025-01] 11-024-03-000,2025-01,2025,[01] January,"City of Digos, Davao del Sur",[1] Operational,,,,,[A] Operational,B,11-024-03-000,City of Digos,Davao del Sur,Region XI (Davao Region),City,2nd,R11,P
[2025-01] 11-082-02-000,2025-01,2025,[01] January,"Laak, Davao de Oro",[1] Operational,,,,,[A] Operational,B,11-082-02-000,Laak,Davao de Oro,Region XI (Davao Region),Municipality,1st,R11,P
[2025-01] 11-025-07-000,2025-01,2025,[01] January,"Lupon, Davao Oriental",[1] Operational,,,,,[A] Operational,A,11-025-07-000,Lupon,Davao Oriental,Region XI (Davao Region),Municipality,1st,R11,P
[2025-01] 11-025-08-000,2025-01,2025,[01] January,"Manay, Davao Oriental",[1] Operational,,,,,[A] Operational,A,11-025-08-000,Manay,Davao Oriental,Region XI (Davao Region),Municipality,2nd,R11,P
[2025-01] 11-082-06-000,2025-01,2025,[01] January,"Mawab, Davao de Oro",[1] Operational,,,,,[A] Operational,B,11-082-06-000,Mawab,Davao de Oro,Region XI (Davao Region),Municipality,3rd,R11,P
[2025-01] 11-082-10-000,2025-01,2025,[01] January,"New Bataan, Davao de Oro",[1] Operational,,,,,[A] Operational,B,11-082-10-000,New Bataan,Davao de Oro,Region XI (Davao Region),Municipality,1st,R11,P
[2025-01] 11-025-10-000,2025-01,2025,[01] January,"San Isidro, Davao Oriental",[1] Operational,,,,,[A] Operational,B,11-025-10-000,San Isidro,Davao Oriental,Region XI (Davao Region),Municipality,3rd,R11,P
[2025-01] 11-024-14-000,2025-01,2025,[01] January,"Sulop, Davao del Sur",[1] Operational,,,,,[A] Operational,B,11-024-14-000,Sulop,Davao del Sur,Region XI (Davao Region),Municipality,3rd,R11,P
[2025-01] 10-043-06-000,2025-01,2025,[01] January,"Claveria, Misamis Oriental",[1] Operational,,,,,[A] Operational,A,10-043-06-000,Claveria,Misamis Oriental,Region X (Northern Mindanao),Municipality,1st,R10,N
[2025-01] 10-043-11-000,2025-01,2025,[01] January,"Jasaan, Misamis Oriental",[3] With Concerns,,,,Waiting for PMT go signal,[A] Operational,B,10-043-11-000,Jasaan,Misamis Oriental,Region X (Northern Mindanao),Municipality,2nd,R10,N
[2025-01] 10-043-19-000,2025-01,2025,[01] January,"Medina, Misamis Oriental",[3] With Concerns,,,,Waiting for PMT go signal,[A] Operational,B,10-043-19-000,Medina,Misamis Oriental,Region X (Northern Mindanao),Municipality,4th,R10,N
[2025-01] 12-047-15-000,2025-01,2025,[01] January,"Antipas, Cotabato",[1] Operational,,,,,[A] Operational,B,12-047-15-000,Antipas,Cotabato,Region XII (SOCCSKSARGEN),Municipality,2nd,R12,Q
[2025-01] 12-047-03-000,2025-01,2025,[01] January,"Kabacan, Cotabato",[1] Operational,,,,,[A] Operational,A,12-047-03-000,Kabacan,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,Q
[2025-01] 12-047-08-000,2025-01,2025,[01] January,"Matalam, Cotabato",[1] Operational,,,,,[A] Operational,B,12-047-08-000,Matalam,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,Q
[2025-01] 12-047-05-000,2025-01,2025,[01] January,"Libungan, Cotabato",[1] Operational,,,,,[A] Operational,B,12-047-05-000,Libungan,Cotabato,Region XII (SOCCSKSARGEN),Municipality,2nd,R12,Q
[2025-01] 12-047-11-000,2025-01,2025,[01] January,"Pigkawayan, Cotabato",[1] Operational,,,,,[A] Operational,B,12-047-11-000,Pigkawayan,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,Q
[2025-01] 12-047-12-000,2025-01,2025,[01] January,"Pikit, Cotabato",[1] Operational,,,,,[A] Operational,B,12-047-12-000,Pikit,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,Q
[2025-01] 12-065-01-000,2025-01,2025,[01] January,"Bagumbayan, Sultan Kudarat",[1] Operational,,,,,[A] Operational,B,12-065-01-000,Bagumbayan,Sultan Kudarat,Region XII (SOCCSKSARGEN),Municipality,1st,R12,Q
[2025-01] 12-065-02-000,2025-01,2025,[01] January,"Columbio, Sultan Kudarat",[1] Operational,,,,,[A] Operational,B,12-065-02-000,Columbio,Sultan Kudarat,Region XII (SOCCSKSARGEN),Municipality,1st,R12,Q
[2025-01] 12-065-03-000,2025-01,2025,[01] January,"Esperanza, Sultan Kudarat",[1] Operational,,,,,[A] Operational,B,12-065-03-000,Esperanza,Sultan Kudarat,Region XII (SOCCSKSARGEN),Municipality,1st,R12,Q
[2025-01] 12-065-04-000,2025-01,2025,[01] January,"Isulan, Sultan Kudarat",[1] Operational,,,,,[A] Operational,B,12-065-04-000,Isulan,Sultan Kudarat,Region XII (SOCCSKSARGEN),Municipality,1st,R12,Q
[2025-01] 12-065-08-000,2025-01,2025,[01] January,"Lambayong, Sultan Kudarat",[1] Operational,,,,,[A] Operational,B,12-065-08-000,Lambayong,Sultan Kudarat,Region XII (SOCCSKSARGEN),Municipality,2nd,R12,Q
[2025-01] 16-002-07-000,2025-01,2025,[01] January,"Las Nieves, Agusan del Norte",[1] Operational,,,,,[A] Operational,B,16-002-07-000,Las Nieves,Agusan del Norte,Region XIII (Caraga),Municipality,2nd,R13,O
[2025-01] 16-003-08-000,2025-01,2025,[01] January,"San Francisco, Agusan del Sur",[1] Operational,,,,,[A] Operational,A,16-003-08-000,San Francisco,Agusan del Sur,Region XIII (Caraga),Municipality,1st,R13,O
[2025-01] 19-087-13-000,2025-01,2025,[01] January,"Upi, Maguindanao del Norte",[1] Operational,,,,,[A] Operational,B,19-087-13-000,Upi,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Municipality,1st,BARMM II,R
[2025-01] 19-087-09-000,2025-01,2025,[01] January,"Parang, Maguindanao del Norte",[1] Operational,,,,,[A] Operational,B,19-087-09-000,Parang,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Municipality,1st*,BARMM II,R
[2025-01] 14-081-06-000,2025-01,2025,[01] January,"Pudtol, Apayao",[1] Operational,,,,,[A] Operational,B,14-081-06-000,Pudtol,Apayao,Cordillera Administrative Region (CAR),Municipality,4th,CAR,B
[2025-01] 14-011-12-000,2025-01,2025,[01] January,"Sablan, Benguet",[1] Operational,,,,,[A] Operational,A,14-011-12-000,Sablan,Benguet,Cordillera Administrative Region (CAR),Municipality,5th,CAR,B
[2025-01] 14-011-13-000,2025-01,2025,[01] January,"Tuba, Benguet",[1] Operational,,,,,[A] Operational,B,14-011-13-000,Tuba,Benguet,Cordillera Administrative Region (CAR),Municipality,1st,CAR,B
[2025-01] 14-011-14-000,2025-01,2025,[01] January,"Tublay, Benguet",[1] Operational,,,,,[A] Operational,B,14-011-14-000,Tublay,Benguet,Cordillera Administrative Region (CAR),Municipality,5th,CAR,B
[2025-01] 14-011-11-000,2025-01,2025,[01] January,"Mankayan, Benguet",[1] Operational,,,,,[A] Operational,B,14-011-11-000,Mankayan,Benguet,Cordillera Administrative Region (CAR),Municipality,1st,CAR,B
[2025-01] 14-027-02-000,2025-01,2025,[01] January,"Hungduan, Ifugao",[1] Operational,,,,,[A] Operational,B,14-027-02-000,Hungduan,Ifugao,Cordillera Administrative Region (CAR),Municipality,4th,CAR,B
[2025-01] 14-027-05-000,2025-01,2025,[01] January,"Lamut, Ifugao",[1] Operational,,,,,[A] Operational,B,14-027-05-000,Lamut,Ifugao,Cordillera Administrative Region (CAR),Municipality,4th,CAR,B
[2025-01] 14-032-13-000,2025-01,2025,[01] January,"City of Tabuk, Kalinga",[1] Operational,,,,,[A] Operational,A,14-032-13-000,City of Tabuk,Kalinga,Cordillera Administrative Region (CAR),City,5th,CAR,B
[2025-01] 14-044-02-000,2025-01,2025,[01] January,"Bauko, Mountain Province",[1] Operational,,,,,[A] Operational,B,14-044-02-000,Bauko,Mountain Province,Cordillera Administrative Region (CAR),Municipality,4th,CAR,B
[2025-01] 14-044-04-000,2025-01,2025,[01] January,"Bontoc, Mountain Province",[1] Operational,,,,,[A] Operational,A,14-044-04-000,Bontoc,Mountain Province,Cordillera Administrative Region (CAR),Municipality,2nd,CAR,B
[2025-01] 01-029-07-000,2025-01,2025,[01] January,"Caoayan, Ilocos Sur",[1] Operational,,,,,[A] Operational,B,01-029-07-000,Caoayan,Ilocos Sur,Region I (Ilocos Region),Municipality,4th,R1,C
[2025-01] 01-028-12-000,2025-01,2025,[01] January,"City of Laoag, Ilocos Norte",[1] Operational,,,,,[A] Operational,B,01-028-12-000,City of Laoag,Ilocos Norte,Region I (Ilocos Region),City,3rd,R1,C
[2025-01] 01-055-41-000,2025-01,2025,[01] January,"Sison, Pangasinan",[1] Operational,,,,,[A] Operational,B,01-055-41-000,Sison,Pangasinan,Region I (Ilocos Region),Municipality,3rd,R1,C
[2025-01] 02-031-06-000,2025-01,2025,[01] January,"Cabagan, Isabela",[1] Operational,,,,,[A] Operational,B,02-031-06-000,Cabagan,Isabela,Region II (Cagayan Valley),Municipality,1st,R2,D
[2025-01] 02-031-14-000,2025-01,2025,[01] January,"City of Ilagan, Isabela",[1] Operational,,,,,[A] Operational,A,02-031-14-000,City of Ilagan,Isabela,Region II (Cagayan Valley),City,1st (as Mun),R2,D
[2025-01] 02-015-22-000,2025-01,2025,[01] January,"Sanchez-Mira, Cagayan",[1] Operational,,,,,[A] Operational,B,02-015-22-000,Sanchez-Mira,Cagayan,Region II (Cagayan Valley),Municipality,3rd,R2,D
[2025-01] 03-054-03-000,2025-01,2025,[01] January,"Arayat, Pampanga",[1] Operational,,,,,[A] Operational,A,03-054-03-000,Arayat,Pampanga,Region III (Central Luzon),Municipality,1st,R3,E
[2025-01] 03-077-01-000,2025-01,2025,[01] January,"Baler, Aurora",[1] Operational,,,,,[A] Operational,A,03-077-01-000,Baler,Aurora,Region III (Central Luzon),Municipality,3rd,R3,E
[2025-01] 03-077-02-000,2025-01,2025,[01] January,"Casiguran, Aurora",[2] Ongoing Testing and Data Build-up,90%,,,,[B] Developmental,B,03-077-02-000,Casiguran,Aurora,Region III (Central Luzon),Municipality,2nd,R3,E
[2025-01] 03-314-00-000,2025-01,2025,[01] January,"City of Olongapo, Zambales",[3] With Concerns,80%,,intended to withdraw,,[A] Operational,B,03-314-00-000,City of Olongapo,Zambales,Region III (Central Luzon),City,1st,R3,E
[2025-01] 03-014-20-000,2025-01,2025,[01] January,"City of San Jose Del Monte, Bulacan",[1] Operational,,,,,[A] Operational,B,03-014-20-000,City of San Jose Del Monte,Bulacan,Region III (Central Luzon),City,1st,R3,E
[2025-01] 03-054-10-000,2025-01,2025,[01] January,"Macabebe, Pampanga",[2] Ongoing Testing and Data Build-up,99%,,,,[B] Developmental,A,03-054-10-000,Macabebe,Pampanga,Region III (Central Luzon),Municipality,1st,R3,E
[2025-01] 03-054-11-000,2025-01,2025,[01] January,"Magalang, Pampanga",[2] Ongoing Testing and Data Build-up,87%,,,,[B] Developmental,B,03-054-11-000,Magalang,Pampanga,Region III (Central Luzon),Municipality,1st,R3,E
[2025-01] 03-049-23-000,2025-01,2025,[01] January,"Rizal, Nueva Ecija",[1] Operational,,,,,[A] Operational,A,03-049-23-000,Rizal,Nueva Ecija,Region III (Central Luzon),Municipality,2nd,R3,E
[2025-01] 03-054-17-000,2025-01,2025,[01] January,"San Luis, Pampanga",[1] Operational,,,,,[A] Operational,A,03-054-17-000,San Luis,Pampanga,Region III (Central Luzon),Municipality,3rd,R3,E
[2025-01] 03-049-29-000,2025-01,2025,[01] January,"Santo Domingo, Nueva Ecija",[1] Operational,,,,,[A] Operational,A,03-049-29-000,Santo Domingo,Nueva Ecija,Region III (Central Luzon),Municipality,3rd,R3,E
[2025-01] 03-049-31-000,2025-01,2025,[01] January,"Talugtug, Nueva Ecija",[2] Ongoing Testing and Data Build-up,100%,,,,[B] Developmental,A,03-049-31-000,Talugtug,Nueva Ecija,Region III (Central Luzon),Municipality,4th,R3,E
[2025-01] 04-056-02-000,2025-01,2025,[01] January,"Alabat, Quezon",[1] Operational,,,,,[A] Operational,A,04-056-02-000,Alabat,Quezon,Region IV-A (CALABARZON),Municipality,5th,R4A,F
[2025-01] 04-021-02-000,2025-01,2025,[01] January,"Amadeo, Cavite",[1] Operational,,,,,[A] Operational,B,04-021-02-000,Amadeo,Cavite,Region IV-A (CALABARZON),Municipality,4th,R4A,F
[2025-01] 04-010-03-000,2025-01,2025,[01] January,"Balayan, Batangas",[1] Operational,,,,,[A] Operational,B,04-010-03-000,Balayan,Batangas,Region IV-A (CALABARZON),Municipality,1st,R4A,F
[2025-01] 04-058-06-000,2025-01,2025,[01] January,"Cardona, Rizal",[1] Operational,,,,,[A] Operational,B,04-058-06-000,Cardona,Rizal,Region IV-A (CALABARZON),Municipality,3rd,R4A,F
[2025-01] 04-034-08-000,2025-01,2025,[01] January,"Famy, Laguna",[1] Operational,,,,Operational but not utilized,[A] Operational,B,04-034-08-000,Famy,Laguna,Region IV-A (CALABARZON),Municipality,5th,R4A,F
