REPORTING PERIOD,,,MONTHLY UTILIZATION STATUS,,LGU PROFILE,,,,,
PERIOD  ,YEAR,MONTH,LGU FULL NAME,MONTHLY STATUS,UNIVERSAL STATUS,DISTRICT,LEVEL,INCOME CLASS,DICT RO,VERSION
PERIOD ID,YEAR,MONTH,LGU NAME,STATUS,USTATUS,DISTRICT,LEVEL,INCOME CLASS,DICT RO,VERSION
2026-01,2026,[01] January,"Ajuy, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Alimodian, Iloilo",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Anilao, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Anini-Y, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Badiangan, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Balasan, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Balete, Aklan",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Banate, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Barbaza, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Barotac Nuevo, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Barotac Viejo, Iloilo",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Batad, Iloilo",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-01,2026,[01] January,"Belison, Antique",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-01,2026,[01] January,"Bingawan, Iloilo",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-01,2026,[01] January,"Buenavista, Guimaras",[8] Withdraw,[D] Withdraw,2nd,Mun,2nd,R6,
2026-01,2026,[01] January,"Bugasong, Antique",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Buruanga, Aklan",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-01,2026,[01] January,"Cabatuan, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Calinog, Iloilo",[1] Live,[A] Live,1st,Mun,1st,R6,v1
2026-01,2026,[01] January,"Carles, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"City of Iloilo, Iloilo",[1] Live,[A] Live,1st,City,1st,R6,v1
2026-01,2026,[01] January,"City of Roxas, Capiz",[8] Withdraw,[D] Withdraw,3rd,City,3rd,R6,
2026-01,2026,[01] January,"Concepcion, Iloilo",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Cuartero, Capiz",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Dingle, Iloilo",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Dueñas, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Dumarao, Capiz",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Guimbal, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Hamtic, Antique",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Igbaras, Iloilo",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
