ID,,REPORTING PERIOD,,MONTHLY UTILIZATION STATUS,,,,,,,,LGU PROFILE,,,,,,,
REPORT,PERIOD,YEAR,MONTH,LGU FULL NAME,MONTHLY STATUS,PROGRESS RATE,CONCERNS,ACTION ITEMS,OTHER REMARKS,UNIVERSAL STATUS,MPAR,GEOCODE,C/M,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,SORT
REPORT ID,PERIOD ID,YEAR,MONTH,LGU NAME,STATUS,PROGRESS RATE,CONCERNS,ACTION ITEMS,OTHER REMARKS,USTATUS,MPAR,NEW GEOCODE,NAME,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,SORT
[2024-06] 17-051-01-000,2024-06,2024,[06] June,"Abra De Ilog, Occidental Mindoro",[1] Operational,,,,,[A] Operational,B,17-051-01-000,Abra De Ilog,Occidental Mindoro,MIMAROPA Region,Municipality,2nd,R4B,G
[2024-07] 17-051-01-000,2024-07,2024,[07] July,"Abra De Ilog, Occidental Mindoro",[1] Operational,,,,,[A] Operational,B,17-051-01-000,Abra De Ilog,Occidental Mindoro,MIMAROPA Region,Municipality,2nd,R4B,G
[2023-12] 01-028-01-000,2023-12,2023,[12] December,"Adams, Ilocos Norte",[1] Operational,,,,,[A] Operational,A,01-028-01-000,Adams,Ilocos Norte,Region I (Ilocos Region),Municipality,5th,R1,C
[2024-01] 01-028-01-000,2024-01,2024,[01] January,"Adams, Ilocos Norte",[1] Operational,,,,,[A] Operational,A,01-028-01-000,Adams,Ilocos Norte,Region I (Ilocos Region),Municipality,5th,R1,C
[2024-02] 01-028-01-000,2024-02,2024,[02] February,"Adams, Ilocos Norte",[1] Operational,,,,,[A] Operational,A,01-028-01-000,Adams,Ilocos Norte,Region I (Ilocos Region),Municipality,5th,R1,C
[2024-03] 01-028-01-000,2024-03,2024,[03] March,"Adams, Ilocos Norte",[1] Operational,,,,,[A] Operational,A,01-028-01-000,Adams,Ilocos Norte,Region I (Ilocos Region),Municipality,5th,R1,C
[2024-04] 01-028-01-000,2024-04,2024,[04] April,"Adams, Ilocos Norte",[1] Operational,,,,,[A] Operational,A,01-028-01-000,Adams,Ilocos Norte,Region I (Ilocos Region),Municipality,5th,R1,C
[2024-05] 01-028-01-000,2024-05,2024,[05] May,"Adams, Ilocos Norte",[1] Operational,,,,,[A] Operational,A,01-028-01-000,Adams,Ilocos Norte,Region I (Ilocos Region),Municipality,5th,R1,C
[2024-06] 01-028-01-000,2024-06,2024,[06] June,"Adams, Ilocos Norte",[1] Operational,,,,,[A] Operational,A,01-028-01-000,Adams,Ilocos Norte,Region I (Ilocos Region),Municipality,5th,R1,C
[2024-07] 01-028-01-000,2024-07,2024,[07] July,"Adams, Ilocos Norte",[1] Operational,,,,,[A] Operational,A,01-028-01-000,Adams,Ilocos Norte,Region I (Ilocos Region),Municipality,5th,R1,C
