ID,,REPORTING PERIOD,,MONTHLY UTILIZATION STATUS,,,,,,,,LGU PROFILE,,,,,,,,
REPORT,PERIOD,YEAR,MONTH,LGU FULL NAME,MONTHLY STATUS,PROGRESS RATE,CONCERNS,ACTION ITEMS,OTHER REMARKS,UNIVERSAL STATUS,MPAR,GEOCODE,C/M,PROVINCE,REGION,DISTRICT,LEVEL,INCOME CLASS,DICT RO,SORT
REPORT ID,PERIOD ID,YEAR,MONTH,LGU NAME,STATUS,PROGRESS RATE,CONCERNS,ACTION ITEMS,OTHER REMARKS,USTATUS,MPAR,NEW GEOCODE,NAME,PROVINCE,REGION,DISTRICT,LEVEL,INCOME CLASS,DICT RO,SORT
[2024-01] 17-053-01-000,2024-01,2024,[01] January,"Aborlan, Palawan",[1] Operational,,,,,[A] Operational,A,17-053-01-000,Aborlan,Palawan,#ERROR!,3rd ,Municipality,1st,R4B,G
[2024-02] 17-053-01-000,2024-02,2024,[02] February,"Aborlan, Palawan",[1] Operational,,,,,[A] Operational,A,17-053-01-000,Aborlan,Palawan,MIMAROPA Region,3rd ,Municipality,1st,R4B,G
[2024-03] 17-053-01-000,2024-03,2024,[03] March,"Aborlan, Palawan",[1] Operational,,,,,[A] Operational,A,17-053-01-000,Aborlan,Palawan,MIMAROPA Region,3rd ,Municipality,1st,R4B,G
[2024-04] 17-053-01-000,2024-04,2024,[04] April,"Aborlan, Palawan",[1] Operational,,,,,[A] Operational,A,17-053-01-000,Aborlan,Palawan,MIMAROPA Region,3rd ,Municipality,1st,R4B,G
[2024-05] 17-053-01-000,2024-05,2024,[05] May,"Aborlan, Palawan",[1] Operational,,,,,[A] Operational,A,17-053-01-000,Aborlan,Palawan,MIMAROPA Region,3rd ,Municipality,1st,R4B,G
[2024-06] 17-053-01-000,2024-06,2024,[06] June,"Aborlan, Palawan",[1] Operational,,,,,[A] Operational,A,17-053-01-000,Aborlan,Palawan,MIMAROPA Region,3rd ,Municipality,1st,R4B,G
[2024-07] 17-053-01-000,2024-07,2024,[07] July,"Aborlan, Palawan",[1] Operational,,,,,[A] Operational,A,17-053-01-000,Aborlan,Palawan,MIMAROPA Region,3rd ,Municipality,1st,R4B,G
[2024-08] 17-053-01-000,2024-08,2024,[08] August,"Aborlan, Palawan",[1] Operational,,,,,[A] Operational,A,17-053-01-000,Aborlan,Palawan,MIMAROPA Region,3rd ,Municipality,1st,R4B,G
[2024-09] 17-053-01-000,2024-09,2024,[09] September,"Aborlan, Palawan",[1] Operational,,,,,[A] Operational,A,17-053-01-000,Aborlan,Palawan,MIMAROPA Region,3rd ,Municipality,1st,R4B,G
[2023-12] 17-053-01-000,2023-12,2023,[12] December,"Aborlan, Palawan",[1] Operational,,,,,[A] Operational,A,17-053-01-000,Aborlan,Palawan,MIMAROPA Region,3rd ,Municipality,1st,R4B,G
[2024-01] 17-051-01-000,2024-01,2024,[01] January,"Abra De Ilog, Occidental Mindoro",[1] Operational,,,,,[A] Operational,B,17-051-01-000,Abra De Ilog,Occidental Mindoro,MIMAROPA Region,Lone ,Municipality,2nd,R4B,G
[2024-02] 17-051-01-000,2024-02,2024,[02] February,"Abra De Ilog, Occidental Mindoro",[1] Operational,,,,,[A] Operational,B,17-051-01-000,Abra De Ilog,Occidental Mindoro,MIMAROPA Region,Lone ,Municipality,2nd,R4B,G
[2024-03] 17-051-01-000,2024-03,2024,[03] March,"Abra De Ilog, Occidental Mindoro",[1] Operational,,,,,[A] Operational,B,17-051-01-000,Abra De Ilog,Occidental Mindoro,MIMAROPA Region,Lone ,Municipality,2nd,R4B,G
[2024-04] 17-051-01-000,2024-04,2024,[04] April,"Abra De Ilog, Occidental Mindoro",[1] Operational,,,,,[A] Operational,B,17-051-01-000,Abra De Ilog,Occidental Mindoro,MIMAROPA Region,Lone ,Municipality,2nd,R4B,G
[2024-05] 17-051-01-000,2024-05,2024,[05] May,"Abra De Ilog, Occidental Mindoro",[1] Operational,,,,,[A] Operational,B,17-051-01-000,Abra De Ilog,Occidental Mindoro,MIMAROPA Region,Lone ,Municipality,2nd,R4B,G
[2024-06] 17-051-01-000,2024-06,2024,[06] June,"Abra De Ilog, Occidental Mindoro",[1] Operational,,,,,[A] Operational,B,17-051-01-000,Abra De Ilog,Occidental Mindoro,MIMAROPA Region,Lone ,Municipality,2nd,R4B,G
[2024-07] 17-051-01-000,2024-07,2024,[07] July,"Abra De Ilog, Occidental Mindoro",[1] Operational,,,,,[A] Operational,B,17-051-01-000,Abra De Ilog,Occidental Mindoro,MIMAROPA Region,Lone ,Municipality,2nd,R4B,G
[2024-08] 17-051-01-000,2024-08,2024,[08] August,"Abra De Ilog, Occidental Mindoro",[1] Operational,,,,,[A] Operational,B,17-051-01-000,Abra De Ilog,Occidental Mindoro,MIMAROPA Region,Lone ,Municipality,2nd,R4B,G
[2024-09] 17-051-01-000,2024-09,2024,[09] September,"Abra De Ilog, Occidental Mindoro",[1] Operational,,,,,[A] Operational,B,17-051-01-000,Abra De Ilog,Occidental Mindoro,MIMAROPA Region,Lone ,Municipality,2nd,R4B,G
[2023-12] 17-051-01-000,2023-12,2023,[12] December,"Abra De Ilog, Occidental Mindoro",[1] Operational,,,,,[A] Operational,B,17-051-01-000,Abra De Ilog,Occidental Mindoro,MIMAROPA Region,Lone ,Municipality,2nd,R4B,G
[2024-01] 03-008-01-000,2024-01,2024,[01] January,"Abucay, Bataan",[2] Pilot Testing,30%,,for launching phase,,[B] Developmental,B,03-008-01-000,Abucay,Bataan,Region III (Central Luzon),2nd,Municipality,3rd,R3,E
[2024-02] 03-008-01-000,2024-02,2024,[02] February,"Abucay, Bataan",[1] Operational,,,for launching phase,,[A] Operational,B,03-008-01-000,Abucay,Bataan,Region III (Central Luzon),2nd,Municipality,3rd,R3,E
[2024-03] 03-008-01-000,2024-03,2024,[03] March,"Abucay, Bataan",[1] Operational,,,,,[A] Operational,B,03-008-01-000,Abucay,Bataan,Region III (Central Luzon),2nd,Municipality,3rd,R3,E
[2024-04] 03-008-01-000,2024-04,2024,[04] April,"Abucay, Bataan",[1] Operational,,,,,[A] Operational,B,03-008-01-000,Abucay,Bataan,Region III (Central Luzon),2nd,Municipality,3rd,R3,E
[2024-05] 03-008-01-000,2024-05,2024,[05] May,"Abucay, Bataan",[1] Operational,,,,,[A] Operational,B,03-008-01-000,Abucay,Bataan,Region III (Central Luzon),2nd,Municipality,3rd,R3,E
[2024-06] 03-008-01-000,2024-06,2024,[06] June,"Abucay, Bataan",[1] Operational,,,,,[A] Operational,B,03-008-01-000,Abucay,Bataan,Region III (Central Luzon),2nd,Municipality,3rd,R3,E
[2024-07] 03-008-01-000,2024-07,2024,[07] July,"Abucay, Bataan",[1] Operational,,,,,[A] Operational,B,03-008-01-000,Abucay,Bataan,Region III (Central Luzon),2nd,Municipality,3rd,R3,E
[2024-08] 03-008-01-000,2024-08,2024,[08] August,"Abucay, Bataan",[1] Operational,,,,,[A] Operational,B,03-008-01-000,Abucay,Bataan,Region III (Central Luzon),2nd,Municipality,3rd,R3,E
[2024-09] 03-008-01-000,2024-09,2024,[09] September,"Abucay, Bataan",[1] Operational,,,,,[A] Operational,B,03-008-01-000,Abucay,Bataan,Region III (Central Luzon),2nd,Municipality,3rd,R3,E
[2023-12] 03-008-01-000,2023-12,2023,[12] December,"Abucay, Bataan",[2] Pilot Testing,10%,,for launching phase,,[B] Developmental,B,03-008-01-000,Abucay,Bataan,Region III (Central Luzon),2nd,Municipality,3rd,R3,E
[2024-01] 02-015-01-000,2024-01,2024,[01] January,"Abulug, Cagayan",[2] Pilot Testing,80%,,,,[B] Developmental,B,02-015-01-000,Abulug,Cagayan,Region II (Cagayan Valley),2nd,Municipality,3rd,R2,D
[2024-02] 02-015-01-000,2024-02,2024,[02] February,"Abulug, Cagayan",[2] Pilot Testing,80%,,,,[B] Developmental,B,02-015-01-000,Abulug,Cagayan,Region II (Cagayan Valley),2nd,Municipality,3rd,R2,D
[2024-03] 02-015-01-000,2024-03,2024,[03] March,"Abulug, Cagayan",[2] Pilot Testing,80%,,,,[B] Developmental,B,02-015-01-000,Abulug,Cagayan,Region II (Cagayan Valley),2nd,Municipality,3rd,R2,D
[2024-04] 02-015-01-000,2024-04,2024,[04] April,"Abulug, Cagayan",[2] Pilot Testing,80%,,,,[B] Developmental,B,02-015-01-000,Abulug,Cagayan,Region II (Cagayan Valley),2nd,Municipality,3rd,R2,D
[2024-05] 02-015-01-000,2024-05,2024,[05] May,"Abulug, Cagayan",[2] Pilot Testing,80%,,,,[B] Developmental,B,02-015-01-000,Abulug,Cagayan,Region II (Cagayan Valley),2nd,Municipality,3rd,R2,D
[2024-06] 02-015-01-000,2024-06,2024,[06] June,"Abulug, Cagayan",[2] Pilot Testing,80%,,,,[B] Developmental,B,02-015-01-000,Abulug,Cagayan,Region II (Cagayan Valley),2nd,Municipality,3rd,R2,D
[2024-07] 02-015-01-000,2024-07,2024,[07] July,"Abulug, Cagayan",[8] Withdraw,,,,Letter of Withdrawal_Abulug Cagayan.pdf,[D] Withdraw,B,02-015-01-000,Abulug,Cagayan,Region II (Cagayan Valley),2nd,Municipality,3rd,R2,D
[2024-08] 02-015-01-000,2024-08,2024,[08] August,"Abulug, Cagayan",[8] Withdraw,,,,Letter of Withdrawal_Abulug Cagayan.pdf,[D] Withdraw,B,02-015-01-000,Abulug,Cagayan,Region II (Cagayan Valley),2nd,Municipality,3rd,R2,D
