ID,,REPORTING PERIOD,,MONTHLY UTILIZATION STATUS,,,,,,,,LGU PROFILE,,,,,,,
REPORT,PERIOD,YEAR,MONTH,LGU FULL NAME,MONTHLY STATUS,PROGRESS RATE,CONCERNS,ACTION ITEMS,OTHER REMARKS,UNIVERSAL STATUS,MPAR,GEOCODE,C/M,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,SORT
REPORT ID,PERIOD ID,YEAR,MONTH,LGU NAME,STATUS,PROGRESS RATE,CONCERNS,ACTION ITEMS,OTHER REMARKS,USTATUS,MPAR,NEW GEOCODE,NAME,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,SORT
[2024-01] 17-053-01-000,2024-01,2024,[01] January,"Aborlan, Palawan",[1] Operational,,,,,[A] Operational,B,17-053-01-000,Aborlan,Palawan,MIMAROPA Region,Municipality,1st,R4B,G
[2024-01] 04-056-02-000,2024-01,2024,[01] January,"Alabat, Quezon",[1] Operational,,,,,[A] Operational,A,04-056-02-000,Alabat,Quezon,Region IV-A (CALABARZON),Municipality,5th,R4A,F
[2024-01] 07-022-02-000,2024-01,2024,[01] January,"Alcoy, Cebu",[2] Ongoing Testing and Data Build-up,55%,,,,[B] Developmental,B,07-022-02-000,Alcoy,Cebu,Region VII (Central Visayas),Municipality,5th,R7,J
[2024-01] 12-047-15-000,2024-01,2024,[01] January,"Antipas, Cotabato",[1] Operational,,,,,[A] Operational,B,12-047-15-000,Antipas,Cotabato,Region XII (SOCCSKSARGEN),Municipality,2nd,R12,Q
[2024-01] 03-054-03-000,2024-01,2024,[01] January,"Arayat, Pampanga",[1] Operational,,,,,[A] Operational,A,03-054-03-000,Arayat,Pampanga,Region III (Central Luzon),Municipality,1st,R3,E
[2024-01] 12-065-01-000,2024-01,2024,[01] January,"Bagumbayan, Sultan Kudarat",[1] Operational,,,,,[A] Operational,B,12-065-01-000,Bagumbayan,Sultan Kudarat,Region XII (SOCCSKSARGEN),Municipality,1st,R12,Q
[2024-01] 04-010-03-000,2024-01,2024,[01] January,"Balayan, Batangas",[1] Operational,,,,,[A] Operational,B,04-010-03-000,Balayan,Batangas,Region IV-A (CALABARZON),Municipality,1st,R4A,F
[2024-01] 03-077-01-000,2024-01,2024,[01] January,"Baler, Aurora",[1] Operational,,,,,[A] Operational,A,03-077-01-000,Baler,Aurora,Region III (Central Luzon),Municipality,3rd,R3,E
[2024-01] 17-052-02-000,2024-01,2024,[01] January,"Bansud, Oriental Mindoro",[1] Operational,,,,,[A] Operational,B,17-052-02-000,Bansud,Oriental Mindoro,MIMAROPA Region,Municipality,2nd,R4B,G
