ID,,REPORTING PERIOD,,MONTHLY UTILIZATION STATUS,,,,,,,,LGU PROFILE,,,,,,,
REPORT,PERIOD,YEAR,MONTH,LGU FULL NAME,MONTHLY STATUS,PROGRESS RATE,CONCERNS,ACTION ITEMS,OTHER REMARKS,UNIVERSAL STATUS,MPAR,GEOCODE,C/M,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,SORT
REPORT ID,PERIOD ID,YEAR,MONTH,LGU NAME,STATUS,PROGRESS RATE,CONCERNS,ACTION ITEMS,OTHER REMARKS,USTATUS,MPAR,NEW GEOCODE,NAME,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,SORT
[2025-01] 07-022-01-000,2025-01,2025,[01] January,"Alcantara, Cebu",[1] Operational,,,,,[A] Operational,B,07-022-01-000,Alcantara,Cebu,Region VII (Central Visayas),Municipality,5th,R7,J
[2025-01] 07-022-02-000,2025-01,2025,[01] January,"Alcoy, Cebu",[1] Operational,,,,,[A] Operational,B,07-022-02-000,Alcoy,Cebu,Region VII (Central Visayas),Municipality,5th,R7,J
[2025-01] 07-022-03-000,2025-01,2025,[01] January,"Alegria, Cebu",[1] Operational,,,,,[A] Operational,B,07-022-03-000,Alegria,Cebu,Region VII (Central Visayas),Municipality,4th,R7,J
[2025-01] 07-022-04-000,2025-01,2025,[01] January,"Aloguinsan, Cebu",[1] Operational,,,,,[A] Operational,B,07-022-04-000,Aloguinsan,Cebu,Region VII (Central Visayas),Municipality,4th,R7,J
[2025-01] 07-022-05-000,2025-01,2025,[01] January,"Argao, Cebu",[1] Operational,,,,,[A] Operational,A,07-022-05-000,Argao,Cebu,Region VII (Central Visayas),Municipality,1st,R7,J
[2025-01] 07-022-08-000,2025-01,2025,[01] January,"Balamban, Cebu",[1] Operational,,,,,[A] Operational,B,07-022-08-000,Balamban,Cebu,Region VII (Central Visayas),Municipality,1st,R7,J
[2025-01] 07-046-05-000,2025-01,2025,[01] January,"Basay, Negros Oriental",[1] Operational,,,,,[A] Operational,B,07-046-05-000,Basay,Negros Oriental,Region VII (Central Visayas),Municipality,4th,R7,J
[2025-01] 07-022-25-000,2025-01,2025,[01] January,"Ginatilan, Cebu",[1] Operational,,,,,[A] Operational,A,07-022-25-000,Ginatilan,Cebu,Region VII (Central Visayas),Municipality,5th,R7,J
[2025-01] 07-046-14-000,2025-01,2025,[01] January,"Mabinay, Negros Oriental",[1] Operational,,,,,[A] Operational,B,07-046-14-000,Mabinay,Negros Oriental,Region VII (Central Visayas),Municipality,1st,R7,J
[2025-01] 07-022-37-000,2025-01,2025,[01] January,"Pinamungajan, Cebu",[1] Operational,,,,,[A] Operational,B,07-022-37-000,Pinamungajan,Cebu,Region VII (Central Visayas),Municipality,2nd,R7,J
