REPORTING PERIOD,,,MONTHLY UTILIZATION STATUS,,LGU PROFILE,,,,,
PERIOD,YEAR,MONTH,LGU FULL NAME,MONTHLY STATUS,UNIVERSAL STATUS,DISTRICT,LEVEL,INCOME CLASS,DICT RO,VERSION
PERIOD ID,YEAR,MONTH,LGU NAME,STATUS,USTATUS,DISTRICT,LEVEL,INCOME CLASS,DICT RO,VERSION
2026-01,2026,[01] January,"Amlan, Negros Oriental",[3] System Setup,[B] Developmental,4th,Mun,4th,NIR,v1
2026-01,2026,[01] January,"Basay, Negros Oriental",[1] Live,[A] Live,4th,Mun,4th,NIR,v1
2026-01,2026,[01] January,"City of Canlaon, Negros Oriental",[1] Live,[A] Live,4th,City,4th,NIR,v1
2026-01,2026,[01] January,"City of Himamaylan, Negros Occidental",[1] Live,[A] Live,3rd,City,3rd,NIR,v1
2026-01,2026,[01] January,"City of Sipalay, Negros Occidental",[1] Live,[A] Live,4th,City,4th,NIR,v1
2026-01,2026,[01] January,"Hinigaran, Negros Occidental",[1] Live,[A] Live,1st,Mun,1st,NIR,v1
2026-01,2026,[01] January,"Manapla, Negros Occidental",[1] Live,[A] Live,2nd,Mun,2nd,NIR,v1
2026-01,2026,[01] January,"Moises Padilla, Negros Occidental",[1] Live,[A] Live,3rd,Mun,3rd,NIR,v1
2026-01,2026,[01] January,"San Jose, Negros Oriental",[2] UAT,[B] Developmental,5th,Mun,5th,NIR,v1
2026-01,2026,[01] January,"City of Kabankalan, Negros Occidental",[1] Live,[A] Live,1st,City,1st,NIR,v1
2026-01,2026,[01] January,"City of Bacolod, Negros Occidental",[1] Live,[A] Live,1st,City,1st,NIR,v1
2026-01,2026,[01] January,"Alimodian, Iloilo",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Anilao, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Balasan, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Barbaza, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Barotac Nuevo, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Barotac Viejo, Iloilo",[5] Admin Training,[C] For Training/Others,3rd,Mun,3rd,R6,
2026-01,2026,[01] January,"Bingawan, Iloilo",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-01,2026,[01] January,"Buenavista, Guimaras",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Bugasong, Antique",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Cabatuan, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Calinog, Iloilo",[1] Live,[A] Live,1st,Mun,1st,R6,v1
2026-01,2026,[01] January,"Concepcion, Iloilo",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Dingle, Iloilo",[1] Live,[A] Live,3rd,Mun,3rd,R6,v1
2026-01,2026,[01] January,"Janiuay, Iloilo",[1] Live,[A] Live,1st,Mun,1st,R6,v1
2026-01,2026,[01] January,"Lambunao, Iloilo",[5] Admin Training,[C] For Training/Others,1st,Mun,1st,R6,
2026-01,2026,[01] January,"Laua-An, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Libertad, Antique",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-01,2026,[01] January,"Miagao, Iloilo",[5] Admin Training,[C] For Training/Others,1st,Mun,1st,R6,
