REPORTING PERIOD,,,MONTHLY UTILIZATION STATUS,,LGU PROFILE,,,,,
PERIOD,YEAR,MONTH,LGU FULL NAME,MONTHLY STATUS,UNIVERSAL STATUS,DISTRICT,LEVEL,INCOME CLASS,DICT RO,VERSION
PERIOD ID,YEAR,MONTH,LGU NAME,STATUS,USTATUS,DISTRICT,LEVEL,INCOME CLASS,DICT RO,VERSION
2026-01,2026,[01] January,"Sara, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Barbaza, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Cabatuan, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Laua-An, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Malay, Aklan",[1] Live,[A] Live,1st,Mun,1st,R6,v1
2026-01,2026,[01] January,"San Joaquin, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"San Miguel, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-01,2026,[01] January,"Sibalom, Antique",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-01,2026,[01] January,"Tangalan, Aklan",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-01,2026,[01] January,"Antipas, Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-01,2026,[01] January,"Bagumbayan, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Columbio, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Esperanza, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Isulan, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Kabacan, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Lambayong, Sultan Kudarat",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-01,2026,[01] January,"Libungan, Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-01,2026,[01] January,"Malapatan, Sarangani",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Matalam, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Pigkawayan, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Pikit, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-01,2026,[01] January,"Aborlan, Palawan",[3] With Concerns,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Baco, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Bansud, Oriental Mindoro",[1] Live,[A] Live,2nd,Mun,2nd,R4B,v1
2026-01,2026,[01] January,"Bongabong, Oriental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Bulalacao, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"Coron, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Culion, Palawan",[3] With Concerns,[A] Live,3rd,Mun,3rd,R4B,v1
2026-01,2026,[01] January,"El Nido, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-01,2026,[01] January,"Ferrol, Romblon",[1] Live,[A] Live,6th,Mun,6th,R4B,v1
