,ENGAGEMENT STATUS,,,,LGU PROFILE,,,,,,,,,,DECEMBER 2024,,JANUARY 2025,,FEBRUARY 2025,,,MARCH 2025,,,APRIL 2025,,,MAY 2025,,,JUNE 2025,,,JULY 2025,,,AUGUST 2025,,,SEPTEMBER 2025,,,OCTOBER 2025,,,NOVEMBER 2025,,,DECEMBER 2025,,
LGU FULL NAME.,YEAR,ACCOMP PERIOD,ENGAGEMENT DATES,,GEOCODE,,NAME,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,MPAR,SORT,STATUS,USTATUS,STATUS,USTATUS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS
,,,"(RECEIVE REQTS)
mm/dd/yyyy","(REQUEST PROVIDED)
mm/dd/yyyy",NEW,OLD,,,,,,,,,2024-12,2024-12,2025-01,2025-01,2025-02,2025-02,2025-02,2025-03,2025-03,2025-03,2025-04,2025-04,2025-04,2025-05,2025-05,2025-05,2025-06,2025-06,2025-06,2025-07,2025-07,2025-07,2025-08,2025-08,2025-08,2025-09,2025-09,2025-09,2025-10,2025-10,2025-10,2025-11,2025-11,2025-11,2025-12,2025-12,2025-12
LGU FULL NAME,YEAR,ACCOMP PERIOD,REQUEST DATE,COMPLETION DATE,GCODE,OLD GEOCODE,NAME,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,MPAR,SORT,2024-12,2024-12,2025-01,2025-01,2025-02,2025-02,2025-02,2025-03,2025-03,2025-03,2025-04,2025-04,2025-04,2025-05,2025-05,2025-05,2025-06,2025-06,2025-06,2025-07,2025-07,2025-07,2025-08,2025-08,2025-08,2025-09,2025-09,2025-09,2025-10,2025-10,2025-10,2025-11,2025-11,2025-11,2025-12,2025-12,2025-12
"Manay, Davao Oriental",2022,2022-12,,,11-025-08-000,11-25-08-000,Manay,Davao Oriental,Region XI (Davao Region),Municipality,2nd,R11,A,P,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Lupon, Davao Oriental",2023,2023-01,,,11-025-07-000,11-25-07-000,Lupon,Davao Oriental,Region XI (Davao Region),Municipality,1st,R11,B,P,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Isidro, Davao Oriental",2022,2022-12,,,11-025-10-000,11-25-10-000,San Isidro,Davao Oriental,Region XI (Davao Region),Municipality,3rd,R11,A,P,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sulop, Davao del Sur",2023,2023-02,,,11-024-14-000,11-24-14-000,Sulop,Davao del Sur,Region XI (Davao Region),Municipality,3rd,R11,B,P,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Digos, Davao del Sur",2023,2023-01,01/09/2023,01/09/2023,11-024-03-000,11-24-03-000,City of Digos,Davao del Sur,Region XI (Davao Region),City,2nd,R11,B,P,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Labason, Zamboanga del Norte",2023,2023-02,,,09-072-05-000,09-72-05-000,Labason,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,3rd,R9,B,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Polanco, Zamboanga del Norte",2022,2022-12,,,09-072-10-000,09-72-10-000,Polanco,Zamboanga del Norte,Region IX (Zamboanga Peninsula),Municipality,3rd,R9,A,L,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
