,,,,,,LGU PROFILE,,,LGU PROFILE,,,,,,,,,,,,DECEMBER 2024,,,JANUARY 2025,,,FEBRUARY 2025,,,MARCH 2025,,,APRIL 2025,,,MAY 2025,,,JUNE 2025,,,JULY 2025,,,AUGUST 2025,,,SEPTEMBER 2025,,,OCTOBER 2025,,,NOVEMBER 2025,,,DECEMBER 2025,,
LGU FULL NAME,ONBOARDING PERIOD,ACCOMP PERIOD,ENGAGEMENT DATES,,,GEOCODE,,LGU FULL NAME,NAME,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,MPAR,SORT,YEAR,PRODUCTION INSTANCE,,ACCOMP PERIOD,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS
,,,"(RECEIVE REQTS)
mm/dd/yyyy","(INSTANCE REQUEST DATE)
mm/dd/yyyy","(REQUEST PROVIDED)
mm/dd/yyyy",NEW,OLD,,,,,,,,,,,BP,CO,,2024-12,2024-12,2024-12,2025-01,2025-01,2025-01,2025-02,2025-02,2025-02,2025-03,2025-03,2025-03,2025-04,2025-04,2025-04,2025-05,2025-05,2025-05,2025-06,2025-06,2025-06,2025-07,2025-07,2025-07,2025-08,2025-08,2025-08,2025-09,2025-09,2025-09,2025-10,2025-10,2025-10,2025-11,2025-11,2025-11,2025-12,2025-12,2025-12
LGU FULL NAME,,,LOI DATE,REQUEST DATE,COMPLETION DATE,GCODE,OLD GEOCODE,LGU FULL NAME,NAME,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,MPAR,SORT,YEAR,BPI,COI,ACCOMP PERIOD,2024-12,2024-12,2024-12,2025-01,2025-01,2025-01,2025-02,2025-02,2025-02,2025-03,2025-03,2025-03,2025-04,2025-04,2025-04,2025-05,2025-05,2025-05,2025-06,2025-06,2025-06,2025-07,2025-07,2025-07,2025-08,2025-08,2025-08,2025-09,2025-09,2025-09,2025-10,2025-10,2025-10,2025-11,2025-11,2025-11,2025-12,2025-12,2025-12
"Talipao, Sulu",,,,,,19-066-13-000,15-66-13-000,"Talipao, Sulu",Talipao,Sulu,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Municipality,1st,BARMM I,B,M,2022,https://bldg.ibpls.com/talipaosulu/,https://co.ibpls.com/talipaosulu/,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[1] Operational,[A] Operational,,[3] Ongoing Data Build-up,[B] Developmental,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Upi, Maguindanao del Norte",,,,,,19-087-13-000,15-38-15-000,"Upi, Maguindanao del Norte",Upi,Maguindanao del Norte,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Municipality,1st,BARMM II,A,R,2021,https://bldg.ibpls.com/upimaguindanao/,https://co.ibpls.com/upimaguindanao/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,No Transaction for the Month of September,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Tabuk, Kalinga",,,,,,14-032-13-000,14-32-13-000,"City of Tabuk, Kalinga",City of Tabuk,Kalinga,Cordillera Administrative Region (CAR),City,5th,CAR,B,B,2022,https://bldg.ibpls.com/tabukkalinga/,https://co.ibpls.com/tabukkalinga/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Laoag, Ilocos Norte",,,,,,01-028-12-000,01-28-12-000,"City of Laoag, Ilocos Norte",City of Laoag,Ilocos Norte,Region I (Ilocos Region),City,3rd,R1,B,C,2021,NO INSTANCE,NO INSTANCE,,#N/A,#N/A,#N/A,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Esteban, Ilocos Sur",,,,,,01-029-18-000,01-29-18-000,"San Esteban, Ilocos Sur",San Esteban,Ilocos Sur,Region I (Ilocos Region),Municipality,5th,R1,B,C,2021,NO INSTANCE,NO INSTANCE,,#N/A,#N/A,#N/A,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dasol, Pangasinan",,,,,,01-055-19-000,01-55-19-000,"Dasol, Pangasinan",Dasol,Pangasinan,Region I (Ilocos Region),Municipality,3rd,R1,B,C,2020,https://bldg.ibpls.com/dasolpangasinan,https://co.ibpls.com/dasolpangasinan/,,#N/A,#N/A,#N/A,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Pozorrubio, Pangasinan",,,,,,01-055-30-000,01-55-30-000,"Pozorrubio, Pangasinan",Pozorrubio,Pangasinan,Region I (Ilocos Region),Municipality,1st,R1,B,C,2021,NO INSTANCE,NO INSTANCE,,#N/A,#N/A,#N/A,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
