,ENGAGEMENT STATUS,,,,,LGU PROFILE,,,,,,,,,,DECEMBER 2024,,JANUARY 2025,,FEBRUARY 2025,,,MARCH 2025,,,APRIL 2025,,,MAY 2025,,,JUNE 2025,,,JULY 2025,,,AUGUST 2025,,,SEPTEMBER 2025,,,OCTOBER 2025,,,NOVEMBER 2025,,,DECEMBER 2025,,
LGU FULL NAME,YEAR OF ONBOARDING,ACCOMP PERIOD,ENGAGEMENT DATES,,,GEOCODE,,NAME,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,MPAR,SORT,STATUS,USTATUS,STATUS,USTATUS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS,STATUS,USTATUS,REMARKS
,,,"(REPLY SLIP DATE)
mm/dd/yyyy","(EMAIL REQUEST DATE)
mm/dd/yyyy","(REQUEST PROVIDED)
mm/dd/yyyy",NEW,OLD,,,,,,,,,2024-12,2024-12,2025-01,2025-01,2025-02,2025-02,2025-02,2025-03,2025-03,2025-03,2025-04,2025-04,2025-04,2025-05,2025-05,2025-05,2025-06,2025-06,2025-06,2025-07,2025-07,2025-07,2025-08,2025-08,2025-08,2025-09,2025-09,2025-09,2025-10,2025-10,2025-10,2025-11,2025-11,2025-11,2025-12,2025-12,2025-12
LGU FULL NAME,YEAR,ACCOMP PERIOD,LOI DATE,REQUEST DATE,COMPLETION DATE,GCODE,OLD GEOCODE,NAME,PROVINCE,REGION,LEVEL,INCOME CLASS,DICT RO,MPAR,SORT,2024-12,2024-12,2025-01,2025-01,2025-02,2025-02,2025-02,2025-03,2025-03,2025-03,2024-04,2024-04,2024-04,2024-05,2024-05,2024-05,2025-06,2025-06,2025-06,2025-07,2025-07,2025-07,2025-08,2025-08,2025-08,2025-09,2025-09,2025-09,2025-10,2025-10,2025-10,2025-11,2025-11,2025-11,2025-12,2025-12,2025-12
"City of Ilagan, Isabela",2022,2022-12,,,,02-031-14-000,02-31-14-000,City of Ilagan,Isabela,Region II (Cagayan Valley),City,1st (as Mun),R2,A,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Rizal, Nueva Ecija",2022,2022-12,11/21/2022,,,03-049-23-000,03-49-23-000,Rizal,Nueva Ecija,Region III (Central Luzon),Municipality,2nd,R3,A,E,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Santo Domingo, Nueva Ecija",2022,2022-12,11/16/2022,,,03-049-29-000,03-49-29-000,Santo Domingo,Nueva Ecija,Region III (Central Luzon),Municipality,3rd,R3,A,E,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Talugtug, Nueva Ecija",2022,2022-12,12/02/2022,,,03-049-31-000,03-49-31-000,Talugtug,Nueva Ecija,Region III (Central Luzon),Municipality,4th,R3,A,E,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Arayat, Pampanga",2022,2022-12,11/21/2022,,,03-054-03-000,03-54-03-000,Arayat,Pampanga,Region III (Central Luzon),Municipality,1st,R3,A,E,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Macabebe, Pampanga",2022,2022-12,11/18/2022,,,03-054-10-000,03-54-10-000,Macabebe,Pampanga,Region III (Central Luzon),Municipality,1st,R3,A,E,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Luis, Pampanga",2022,2022-12,11/22/2022,,,03-054-17-000,03-54-17-000,San Luis,Pampanga,Region III (Central Luzon),Municipality,3rd,R3,A,E,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Baler, Aurora",2022,2022-12,11/14/2022,,,03-077-01-000,03-77-01-000,Baler,Aurora,Region III (Central Luzon),Municipality,3rd,R3,A,E,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Paete, Laguna",2022,2022-12,,,,04-034-18-000,04-34-18-000,Paete,Laguna,Region IV-A (CALABARZON),Municipality,4th,R4A,A,F,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Alabat, Quezon",2022,2022-12,11/22/2022,,,04-056-02-000,04-56-02-000,Alabat,Quezon,Region IV-A (CALABARZON),Municipality,5th,R4A,A,F,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"General Luna, Quezon",2022,2022-12,11/23/2022,,,04-056-16-000,04-56-16-000,General Luna,Quezon,Region IV-A (CALABARZON),Municipality,4th,R4A,A,F,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Infanta, Quezon",2023,2023-01,02/10/2023,,,04-056-20-000,04-56-20-000,Infanta,Quezon,Region IV-A (CALABARZON),Municipality,1st,R4A,B,F,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
